Date,FC,Reference ID,Fee Type,Notes,Store Order ID,GST Rate,Amount,GST,Total (incl. GST)
01/05/26 04:33:55,Twin Lakes (WI),334323117,Shipping,1595990222,516936,0%,$ 3.95,$ 0,$ 3.95
01/05/26 04:34:17,Twin Lakes (WI),334406829,Shipping,CR000468892202,517061,0%,$ 5.97,$ 0,$ 5.97
01/05/26 04:43:38,Twin Lakes (WI),334562051,Shipping,D10017039058713,517202,0%,$ 8.38,$ 0,$ 8.38
01/05/26 05:01:00,Twin Lakes (WI),334548258,Shipping,TBA327606982491,517188,0%,$ 5.86,$ 0,$ 5.86
01/05/26 05:02:51,Twin Lakes (WI),334549430,Shipping,1596066776,517192,0%,$ 3.95,$ 0,$ 3.95
01/05/26 05:03:22,Twin Lakes (WI),334548829,Shipping,1596068040,517190,0%,$ 3.95,$ 0,$ 3.95
01/05/26 05:10:07,Twin Lakes (WI),328447715,Shipping,D10017039166475,509231,0%,$ 7.85,$ 0,$ 7.85
01/05/26 05:10:27,Ontario 6 (CA),334370640,Shipping,CR000468035392,517023,0%,$ 5.75,$ 0,$ 5.75
01/05/26 05:10:51,Ontario 6 (CA),334372585,Shipping,CR000468039755,517015,0%,$ 5.82,$ 0,$ 5.82
01/05/26 05:11:22,Twin Lakes (WI),334549142,Shipping,CR000468038482,517185,0%,$ 6.07,$ 0,$ 6.07
01/05/26 05:11:57,Twin Lakes (WI),334546596,Shipping,9200190244541407218052,517180,0%,$ 6.13,$ 0,$ 6.13
01/05/26 05:25:22,Ontario 6 (CA),334340871,Shipping,CR000468061520,516957,0%,$ 5.9,$ 0,$ 5.9
01/05/26 05:37:26,Elwood (IL),334529897,Shipping,1393f32543924f69a,7800,0%,$ 6.27,$ 0,$ 6.27
01/05/26 05:37:26,Elwood (IL),334530521,Shipping,D10017039266605,7807,0%,$ 6.39,$ 0,$ 6.39
01/05/26 05:37:26,Elwood (IL),334530185,Shipping,D10017039266598,7808,0%,$ 6.39,$ 0,$ 6.39
01/05/26 05:37:28,Elwood (IL),333987861,Shipping,TBA327607883420,7680,0%,$ 6.57,$ 0,$ 6.57
01/05/26 05:37:28,Elwood (IL),333718462,Shipping,6a51a79f3246be40b,7615,0%,$ 6.31,$ 0,$ 6.31
01/05/26 05:37:28,Elwood (IL),333987384,Shipping,D10017039266720,7673,0%,$ 6.57,$ 0,$ 6.57
01/05/26 05:37:29,Elwood (IL),334236288,Shipping,9200190244541407221403,7733,0%,$ 6.25,$ 0,$ 6.25
01/05/26 05:37:29,Elwood (IL),334236209,Shipping,4c150086f87bee6ab,7729,0%,$ 6.25,$ 0,$ 6.25
01/05/26 05:37:29,Elwood (IL),333718545,Shipping,67aa5175dd6994607,7616,0%,$ 6.27,$ 0,$ 6.27
01/05/26 05:37:32,Elwood (IL),334236214,Shipping,D10017039266837,7730,0%,$ 6.31,$ 0,$ 6.31
01/05/26 05:39:44,Elwood (IL),334112937,Shipping,D10017039275804,7710,0%,$ 8.16,$ 0,$ 8.16
01/05/26 05:39:44,Elwood (IL),334328052,Shipping,D10017039275812,7768,0%,$ 9.36,$ 0,$ 9.36
01/05/26 05:39:44,Elwood (IL),334064150,Shipping,D10017039275820,7701,0%,$ 9.36,$ 0,$ 9.36
01/05/26 05:39:44,Elwood (IL),334001997,Shipping,D10017039275838,7684,0%,$ 9.36,$ 0,$ 9.36
01/05/26 05:39:44,Elwood (IL),334153655,Shipping,D10017039275846,7720,0%,$ 9.24,$ 0,$ 9.24
01/05/26 05:39:44,Elwood (IL),333979634,Shipping,TBA327607945384,7672,0%,$ 9.36,$ 0,$ 9.36
01/05/26 05:39:45,Elwood (IL),334323822,Shipping,D10017039275862,7766,0%,$ 9.36,$ 0,$ 9.36
01/05/26 05:39:45,Elwood (IL),334402042,Shipping,TBA327607944662,7788,0%,$ 8.68,$ 0,$ 8.68
01/05/26 05:39:45,Elwood (IL),333915454,Shipping,D10017039275870,7667,0%,$ 9.99,$ 0,$ 9.99
01/05/26 05:39:45,Elwood (IL),334021364,Shipping,D10017039275896,7690,0%,$ 9.99,$ 0,$ 9.99
01/05/26 05:39:45,Elwood (IL),333808332,Shipping,D10017039275945,7644,0%,$ 9.99,$ 0,$ 9.99
01/05/26 05:39:46,Elwood (IL),333854238,Shipping,D10017039275953,7654,0%,$ 9.99,$ 0,$ 9.99
